nguon,la_bang_fact,bang,cot,dang,vai_tro,khuyet_pct,so_gia_tri,luc_luong_pct,hang_so,mo_coi_pct,tre_ngay,diem_thong_tin,danh_gia,tac_dung,muc_bang_chung,cong_vo_dung,can_cu_tac_dung,day_du,cong_thieu,he_qua_neu_bo_qua,quyet_dinh_panel,phan_loai,vao_panel,viec_phai_lam
lược đồ dwh,false,dim_employees,flat_sup_code,phân loại,khoá ngoại — dùng như biến phân loại,96.119,37.0,14.231,false,,,0.0366,gần như một giá trị — ít dùng được,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U2 Gần như chỉ một giá trị,"Entropy đo được gần 0: hầu hết dòng mang cùng một giá trị, phần khác biệt quá mỏng để mô hình tách được tín hiệu.",THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
lược đồ dwh,false,dim_employees,flat_asm_code,phân loại,khoá ngoại — dùng như biến phân loại,96.044,12.0,4.528,false,,,0.036,gần như một giá trị — ít dùng được,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U2 Gần như chỉ một giá trị,"Entropy đo được gần 0: hầu hết dòng mang cùng một giá trị, phần khác biệt quá mỏng để mô hình tách được tín hiệu.",THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
lược đồ dwh,false,zz_archive_om_orphans_20260804,delivery_date_key,số,khoá ngoại — dùng như biến phân loại,95.516,3.0,15.0,false,,,0.035,gần như một giá trị — ít dùng được,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U2 Gần như chỉ một giá trị,"Entropy đo được gần 0: hầu hết dòng mang cùng một giá trị, phần khác biệt quá mỏng để mô hình tách được tín hiệu.",THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
lược đồ dwh,false,zz_archive_om_orphans_20260804,delivery_date,phân loại,thời gian — dẫn xuất đặc trưng,95.516,3.0,15.0,false,,,0.035,gần như một giá trị — ít dùng được,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U2 Gần như chỉ một giá trị,"Entropy đo được gần 0: hầu hết dòng mang cùng một giá trị, phần khác biệt quá mỏng để mô hình tách được tín hiệu.",THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
lược đồ dwh,false,zz_archive_om_orphans_20260804,goods_receipt_no,phân loại,khoá ngoại — dùng như biến phân loại,95.516,4.0,20.0,false,,,0.0332,gần như một giá trị — ít dùng được,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U2 Gần như chỉ một giá trị,"Entropy đo được gần 0: hầu hết dòng mang cùng một giá trị, phần khác biệt quá mỏng để mô hình tách được tín hiệu.",THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
lược đồ dwh,false,zz_archive_om_orphans_20260804,billing_address,phân loại,đặc trưng,95.516,4.0,20.0,false,,,0.0332,gần như một giá trị — ít dùng được,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U2 Gần như chỉ một giá trị,"Entropy đo được gần 0: hầu hết dòng mang cùng một giá trị, phần khác biệt quá mỏng để mô hình tách được tín hiệu.",THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
lược đồ dwh,false,zz_archive_om_orphans_20260804,shipping_address,phân loại,đặc trưng,95.516,4.0,20.0,false,,,0.0332,gần như một giá trị — ít dùng được,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U2 Gần như chỉ một giá trị,"Entropy đo được gần 0: hầu hết dòng mang cùng một giá trị, phần khác biệt quá mỏng để mô hình tách được tín hiệu.",THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
lược đồ dwh,true,fact_delivery_details,shipper_received_date_key,số,khoá ngoại — dùng như biến phân loại,96.664,129.0,1.284,false,,-1446.0,0.0313,gần như một giá trị — ít dùng được,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U2 Gần như chỉ một giá trị,"Entropy đo được gần 0: hầu hết dòng mang cùng một giá trị, phần khác biệt quá mỏng để mô hình tách được tín hiệu.",THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
lược đồ dwh,true,fact_delivery_details,note_reason,phân loại,đặc trưng,95.601,588.0,4.437,false,,-1446.0,0.0306,gần như một giá trị — ít dùng được,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U2 Gần như chỉ một giá trị,"Entropy đo được gần 0: hầu hết dòng mang cùng một giá trị, phần khác biệt quá mỏng để mô hình tách được tín hiệu.",THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
lược đồ dwh,true,fact_order_lines,canceled_note,phân loại,đặc trưng,98.144,316.0,5.729,false,,0.0,0.0166,gần như một giá trị — ít dùng được,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U2 Gần như chỉ một giá trị,"Entropy đo được gần 0: hầu hết dòng mang cùng một giá trị, phần khác biệt quá mỏng để mô hình tách được tín hiệu.",THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
lược đồ dwh,true,fact_order_lines,canceled_reason_line,phân loại,đặc trưng,97.825,19.0,0.294,false,,0.0,0.0148,gần như một giá trị — ít dùng được,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U2 Gần như chỉ một giá trị,"Entropy đo được gần 0: hầu hết dòng mang cùng một giá trị, phần khác biệt quá mỏng để mô hình tách được tín hiệu.",THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
lược đồ dwh,true,fact_order_lines,is_admin_cancel,phân loại,đặc trưng,98.339,2.0,0.041,false,,0.0,0.0143,gần như một giá trị — ít dùng được,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U2 Gần như chỉ một giá trị,"Entropy đo được gần 0: hầu hết dòng mang cùng một giá trị, phần khác biệt quá mỏng để mô hình tách được tín hiệu.",THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
lược đồ dwh,false,dim_locators,sub_inventory_key,số,khoá ngoại — dùng như biến phân loại,98.73,2.0,50.0,false,0.0,,0.0127,gần như một giá trị — ít dùng được,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U2 Gần như chỉ một giá trị,"Entropy đo được gần 0: hầu hết dòng mang cùng một giá trị, phần khác biệt quá mỏng để mô hình tách được tín hiệu.",THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
lược đồ dwh,true,fact_promo_budget_available,ar_interface_qty,số,đặc trưng,98.073,124.0,3.524,false,,0.0,0.0092,gần như một giá trị — ít dùng được,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U2 Gần như chỉ một giá trị,"Entropy đo được gần 0: hầu hết dòng mang cùng một giá trị, phần khác biệt quá mỏng để mô hình tách được tín hiệu.",THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
lược đồ dwh,true,fact_promo_budget_available,uninvoiced_qty,số,đặc trưng,96.882,120.0,2.108,false,,0.0,0.008,gần như một giá trị — ít dùng được,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U2 Gần như chỉ một giá trị,"Entropy đo được gần 0: hầu hết dòng mang cùng một giá trị, phần khác biệt quá mỏng để mô hình tách được tín hiệu.",THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
bảng phẳng,true,panel_mt,avg_delivery_sla_days,số,đặc trưng,99.192,201.0,,false,,,0.0078,,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U6 đóng góp đo được thấp,0/8 thước đo xếp vào nửa trên,THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",CHUYỂN THÀNH LAG,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
lược đồ dwh,true,fact_order_fulfillment,canceled_reason_admin,phân loại,đặc trưng,98.291,86.0,1.676,false,,0.0,0.0073,gần như một giá trị — ít dùng được,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U2 Gần như chỉ một giá trị,"Entropy đo được gần 0: hầu hết dòng mang cùng một giá trị, phần khác biệt quá mỏng để mô hình tách được tín hiệu.",THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
lược đồ dwh,true,fact_order_status_timeline,picking_at,phân loại,thời gian — dẫn xuất đặc trưng,98.664,104.0,2.569,false,,0.0,0.0058,gần như một giá trị — ít dùng được,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U2 Gần như chỉ một giá trị,"Entropy đo được gần 0: hầu hết dòng mang cùng một giá trị, phần khác biệt quá mỏng để mô hình tách được tín hiệu.",THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
lược đồ dwh,false,dim_price_lists,valid_to,phân loại,cột kỹ thuật — không phải đặc trưng,99.451,2.0,100.0,false,,,0.0055,gần như một giá trị — ít dùng được,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U2 Gần như chỉ một giá trị,"Entropy đo được gần 0: hầu hết dòng mang cùng một giá trị, phần khác biệt quá mỏng để mô hình tách được tín hiệu.",THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
lược đồ dwh,true,fact_promo_budget_available,ar_interface_amount,số,đặc trưng,98.851,468.0,22.318,false,,0.0,0.0046,gần như một giá trị — ít dùng được,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U2 Gần như chỉ một giá trị,"Entropy đo được gần 0: hầu hết dòng mang cùng một giá trị, phần khác biệt quá mỏng để mô hình tách được tín hiệu.",THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
bảng phẳng,true,panel_mt,dlv_warehouse_confirmed_lines,số,đặc trưng,95.042,53.0,,false,,,0.0046,,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U6 đóng góp đo được thấp,2/8 thước đo xếp vào nửa trên,THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",CHUYỂN THÀNH LAG,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
lược đồ dwh,true,fact_promo_budget_available,promotion_description,phân loại,đặc trưng,98.247,9.0,0.281,false,,0.0,0.0045,gần như một giá trị — ít dùng được,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U2 Gần như chỉ một giá trị,"Entropy đo được gần 0: hầu hết dòng mang cùng một giá trị, phần khác biệt quá mỏng để mô hình tách được tín hiệu.",THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
lược đồ dwh,false,zz_archive_om_orphans_20260804,discount_amount,số,đặc trưng,99.552,2.0,100.0,false,,,0.0045,gần như một giá trị — ít dùng được,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U2 Gần như chỉ một giá trị,"Entropy đo được gần 0: hầu hết dòng mang cùng một giá trị, phần khác biệt quá mỏng để mô hình tách được tín hiệu.",THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",CHUYỂN THÀNH LAG,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
lược đồ dwh,true,fact_promo_budget_available,foc_remaining,số,đặc trưng,99.567,418.0,52.845,false,,0.0,0.0039,gần như một giá trị — ít dùng được,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U2 Gần như chỉ một giá trị,"Entropy đo được gần 0: hầu hết dòng mang cùng một giá trị, phần khác biệt quá mỏng để mô hình tách được tín hiệu.",THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
lược đồ dwh,true,fact_promo_budget_available,uninvoiced_amount,số,đặc trưng,98.839,454.0,21.425,false,,0.0,0.0027,gần như một giá trị — ít dùng được,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U2 Gần như chỉ một giá trị,"Entropy đo được gần 0: hầu hết dòng mang cùng một giá trị, phần khác biệt quá mỏng để mô hình tách được tín hiệu.",THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
lược đồ dwh,true,fact_promo_budget_available,budget_remaining,số,đặc trưng,99.567,222.0,28.066,false,,0.0,0.0017,gần như một giá trị — ít dùng được,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U2 Gần như chỉ một giá trị,"Entropy đo được gần 0: hầu hết dòng mang cùng một giá trị, phần khác biệt quá mỏng để mô hình tách được tín hiệu.",THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
lược đồ dwh,true,fact_order_fulfillment,canceled_reason,phân loại,đặc trưng,99.728,117.0,14.321,false,,0.0,0.0016,gần như một giá trị — ít dùng được,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U2 Gần như chỉ một giá trị,"Entropy đo được gần 0: hầu hết dòng mang cùng một giá trị, phần khác biệt quá mỏng để mô hình tách được tín hiệu.",THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
lược đồ dwh,true,fact_promo_budget_available,foc_budget_allocated,số,đặc trưng,99.567,69.0,8.723,false,,0.0,0.0013,gần như một giá trị — ít dùng được,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U2 Gần như chỉ một giá trị,"Entropy đo được gần 0: hầu hết dòng mang cùng một giá trị, phần khác biệt quá mỏng để mô hình tách được tín hiệu.",THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
lược đồ dwh,true,fact_promo_budget_available,foc_budget_total,số,đặc trưng,99.688,69.0,12.127,false,,0.0,0.0011,gần như một giá trị — ít dùng được,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U2 Gần như chỉ một giá trị,"Entropy đo được gần 0: hầu hết dòng mang cùng một giá trị, phần khác biệt quá mỏng để mô hình tách được tín hiệu.",THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
lược đồ dwh,true,fact_promo_budget_available,budget_allocated,số,đặc trưng,99.567,61.0,7.712,false,,0.0,0.0009,gần như một giá trị — ít dùng được,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U2 Gần như chỉ một giá trị,"Entropy đo được gần 0: hầu hết dòng mang cùng một giá trị, phần khác biệt quá mỏng để mô hình tách được tín hiệu.",THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
lược đồ dwh,true,fact_promo_budget_available,entered_amount,số,đặc trưng,99.542,49.0,5.854,false,,0.0,0.0007,gần như một giá trị — ít dùng được,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U2 Gần như chỉ một giá trị,"Entropy đo được gần 0: hầu hết dòng mang cùng một giá trị, phần khác biệt quá mỏng để mô hình tách được tín hiệu.",THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
lược đồ dwh,true,fact_promo_budget_available,entered_qty,số,đặc trưng,99.523,27.0,3.1,false,,0.0,0.0007,gần như một giá trị — ít dùng được,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U2 Gần như chỉ một giá trị,"Entropy đo được gần 0: hầu hết dòng mang cùng một giá trị, phần khác biệt quá mỏng để mô hình tách được tín hiệu.",THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
lược đồ dwh,false,dwh_batch_logs,error_message,phân loại,đặc trưng,99.871,24.0,7.742,false,,,0.0006,gần như một giá trị — ít dùng được,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U2 Gần như chỉ một giá trị,"Entropy đo được gần 0: hầu hết dòng mang cùng một giá trị, phần khác biệt quá mỏng để mô hình tách được tín hiệu.",THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
lược đồ dwh,true,fact_promo_budget_available,budget_total,số,đặc trưng,99.878,61.0,27.477,false,,0.0,0.0006,gần như một giá trị — ít dùng được,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U2 Gần như chỉ một giá trị,"Entropy đo được gần 0: hầu hết dòng mang cùng một giá trị, phần khác biệt quá mỏng để mô hình tách được tín hiệu.",THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
lược đồ dwh,true,fact_order_status_timeline,completed_partial_at,phân loại,thời gian — dẫn xuất đặc trưng,99.935,11.0,5.584,false,,0.0,0.0003,gần như một giá trị — ít dùng được,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U2 Gần như chỉ một giá trị,"Entropy đo được gần 0: hầu hết dòng mang cùng một giá trị, phần khác biệt quá mỏng để mô hình tách được tín hiệu.",THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
lược đồ dwh,true,fact_order_fulfillment,erp_deleted_source,phân loại,đặc trưng,99.946,2.0,1.235,false,,0.0,0.0001,gần như một giá trị — ít dùng được,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U2 Gần như chỉ một giá trị,"Entropy đo được gần 0: hầu hết dòng mang cùng một giá trị, phần khác biệt quá mỏng để mô hình tách được tín hiệu.",THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
lược đồ dwh,false,dim_account_channels,source_refs,phân loại,BỎ — rỗng hoàn toàn,100.0,,,false,,,0.0,rỗng hoặc hằng số — bỏ,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U1 Hằng số hoặc rỗng,"Phương sai bằng 0 nên thông tin tương hỗ với BẤT KỲ nhãn nào cũng bằng 0. Hệ quả toán học, không phải ngưỡng vận hành.",THIẾU,C1 Rỗng hoàn toàn · C2 Khuyết ≥ 95%,Không có quan sát nào để ước lượng. Cột vẫn chiếm chỗ trong mọi bảng xếp hạng và làm người đọc tưởng nguồn đã có.,,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
lược đồ dwh,false,dim_assets,asset_name,phân loại,BỎ — hằng số,99.997,1.0,100.0,true,,,0.0,rỗng hoặc hằng số — bỏ,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U1 Hằng số hoặc rỗng,"Phương sai bằng 0 nên thông tin tương hỗ với BẤT KỲ nhãn nào cũng bằng 0. Hệ quả toán học, không phải ngưỡng vận hành.",THIẾU,C2 Khuyết ≥ 95%,"Phần quan sát còn lại quá mỏng để ước lượng ổn định. Chỉ nên giữ lại dưới dạng cờ có/không, không giữ giá trị.",,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
lược đồ dwh,false,dim_categories,valid_to,phân loại,BỎ — rỗng hoàn toàn,100.0,0.0,,true,,,0.0,rỗng hoặc hằng số — bỏ,KHÔNG CẦN THIẾT,ĐO ĐƯỢC,U1 Hằng số hoặc rỗng,"Phương sai bằng 0 nên thông tin tương hỗ với BẤT KỲ nhãn nào cũng bằng 0. Hệ quả toán học, không phải ngưỡng vận hành.",THIẾU,C1 Rỗng hoàn toàn · C2 Khuyết ≥ 95%,Không có quan sát nào để ước lượng. Cột vẫn chiếm chỗ trong mọi bảng xếp hạng và làm người đọc tưởng nguồn đã có.,,KHÔNG CÓ TÁC DỤNG,false,Không đưa vào bảng phẳng. Sửa nguồn cũng vô ích vì sửa xong vẫn không nói được gì về nhu cầu.
